time,filename,lng,lat,E,N,H,H_ellipsoid,yaw,pitch,roll,accuracy_index
065008.221,000001.jpg,120.63209763,24.04871392,212582.955,2660467.024,39.784,16.200,-180,0,0,0.2
065008.721,000002.jpg,120.63209761,24.04871392,212582.953,2660467.024,39.784,16.200,-180,0,0,0.2
065009.228,000003.jpg,120.63209761,24.04871393,212582.953,2660467.025,39.787,16.200,-180,0,0,0.2
071101.252,000004.jpg,120.63193325,24.04880625,212566.263,2660477.294,39.148,16.200,91.07,0,0,0.2
071101.753,000005.jpg,120.63193322,24.04880625,212566.260,2660477.294,39.149,16.200,91.07,0,0,0.2
071102.257,000006.jpg,120.63193324,24.04880626,212566.262,2660477.295,39.149,16.200,91.07,0,0,0.2
071102.760,000007.jpg,120.63193322,24.04880624,212566.260,2660477.293,39.152,16.200,91.07,0,0,0.2
071103.266,000008.jpg,120.63193322,24.04880624,212566.260,2660477.293,39.15,16.200,91.07,0,0,0.2
071103.769,000009.jpg,120.63193321,24.04880624,212566.259,2660477.293,39.148,16.200,91.07,0,0,0.2
071104.271,000010.jpg,120.63193324,24.04880626,212566.262,2660477.295,39.146,16.200,91.07,0,0,0.2
071606.175,000011.jpg,120.63193320,24.04880616,212566.258,2660477.284,41.086,16.200,91.07,0,0,0.2
071606.676,000012.jpg,120.63193170,24.04880652,212566.106,2660477.324,41.447,16.200,121.63,0,0,0.2
071607.182,000013.jpg,120.63193014,24.04880695,212565.947,2660477.372,41.931,16.200,124.7,0,0,0.2
071607.685,000014.jpg,120.63192885,24.04880730,212565.816,2660477.411,42.508,16.200,132.23,0,0,0.2
071608.189,000015.jpg,120.63192799,24.04880746,212565.729,2660477.429,43.122,16.200,133.17,0,0,0.2
071608.693,000016.jpg,120.63192749,24.04880738,212565.678,2660477.420,43.738,16.200,133.17,0,0,0.2
071609.194,000017.jpg,120.63192719,24.04880714,212565.647,2660477.394,44.348,16.200,133.17,0,0,0.2
071609.699,000018.jpg,120.63192678,24.04880704,212565.606,2660477.383,45.001,16.200,133.17,0,0,0.2
071610.201,000019.jpg,120.63192625,24.04880692,212565.552,2660477.370,45.694,16.200,133.17,0,0,0.2
071610.704,000020.jpg,120.63192594,24.04880685,212565.520,2660477.362,46.408,16.200,133.17,0,0,0.2
071611.217,000021.jpg,120.63192570,24.04880678,212565.496,2660477.354,47.16,16.200,133.17,0,0,0.2
071611.720,000022.jpg,120.63192557,24.04880680,212565.482,2660477.357,47.996,16.200,133.17,0,0,0.2
071612.222,000023.jpg,120.63192549,24.04880685,212565.474,2660477.362,48.917,16.200,133.17,0,0,0.2
071612.724,000024.jpg,120.63192550,24.04880688,212565.475,2660477.365,49.857,16.200,133.17,0,0,0.2
071613.229,000025.jpg,120.63192552,24.04880696,212565.477,2660477.374,50.817,16.200,133.17,0,0,0.2
071613.736,000026.jpg,120.63192545,24.04880708,212565.470,2660477.388,51.788,16.200,133.17,0,0,0.2
071614.242,000027.jpg,120.63192542,24.04880719,212565.467,2660477.400,52.776,16.200,133.17,0,0,0.2
071614.744,000028.jpg,120.63192545,24.04880722,212565.470,2660477.403,53.759,16.200,133.17,0,0,0.2
071615.247,000029.jpg,120.63192541,24.04880713,212565.466,2660477.393,54.731,16.200,133.17,0,0,0.2
071615.750,000030.jpg,120.63192535,24.04880700,212565.460,2660477.379,55.717,16.200,133.17,0,0,0.2
071616.252,000031.jpg,120.63192524,24.04880683,212565.449,2660477.360,56.762,16.200,133.17,0,0,0.2
071616.760,000032.jpg,120.63192509,24.04880676,212565.434,2660477.352,57.889,16.200,133.17,0,0,0.2
071617.266,000033.jpg,120.63192504,24.04880666,212565.428,2660477.341,59.02,16.200,133.17,0,0,0.2
071617.771,000034.jpg,120.63192493,24.04880660,212565.417,2660477.335,60.14,16.200,133.17,0,0,0.2
071618.272,000035.jpg,120.63192492,24.04880655,212565.416,2660477.329,61.231,16.200,133.17,0,0,0.2
071618.775,000036.jpg,120.63192494,24.04880657,212565.418,2660477.331,62.331,16.200,133.17,0,0,0.2
071619.277,000037.jpg,120.63192499,24.04880663,212565.423,2660477.338,63.478,16.200,133.17,0,0,0.2
071619.780,000038.jpg,120.63192506,24.04880675,212565.431,2660477.351,64.666,16.200,133.17,0,0,0.2
071620.283,000039.jpg,120.63192506,24.04880690,212565.431,2660477.368,65.882,16.200,133.17,0,0,0.2
071620.785,000040.jpg,120.63192505,24.04880705,212565.430,2660477.384,67.085,16.200,133.17,0,0,0.2
